id,title,current_alt,proposed_alt
gid://shopify/Product/8148046544965,3 CUT 9/0 GARNET TRANSPARENT IRIS PRECIOSA ORNELA BEADS,,3 Cut 9/0 Garnet Transparent Iris Preciosa Ornela Beads
gid://shopify/Product/8148051427397,3 CUT 9/0 RED OPAQUE IRIS PRECIOSA ORNELA BEADS,,3 Cut 9/0 Red Opaque Iris Preciosa Ornela Beads
gid://shopify/Product/8148062666821,3 CUT 9/0 CRYSTAL LUSTER BLACK LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Black Lined Preciosa Ornela Beads
gid://shopify/Product/8148073283653,3 CUT 9/0 CRYSTAL LUSTER BEIGE LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Beige Lined Preciosa Ornela Beads
gid://shopify/Product/8148077838405,3 CUT 9/0 CRYSTAL LUSTER LT. FUCHSIA LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Light Fuchsia Lined Preciosa Ornela Beads
gid://shopify/Product/8148082065477,3 CUT 9/0 CRYSTAL LUSTER  LAVENDER LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Lavender Lined Preciosa Ornela Beads
gid://shopify/Product/8148117487685,3 CUT 9/0 CRYSTAL LUSTER PLUM LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Plum Lined Preciosa Ornela Beads
gid://shopify/Product/8148121485381,3 CUT 9/0 CRYSTAL LUSTER LT. BLUE LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Light Blue Lined Preciosa Ornela Beads
gid://shopify/Product/8148126531653,3 CUT 9/0 CRYSTAL LUSTER SEA BLUE LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Sea Blue Lined Preciosa Ornela Beads
gid://shopify/Product/8148129448005,3 CUT 9/0 CRYSTAL LUSTER GUNMETAL LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Gunmetal Lined Preciosa Ornela Beads
gid://shopify/Product/8148134363205,3 CUT 9/0 CRYSTAL LUSTER LT. GREEN LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Light Green Lined Preciosa Ornela Beads
gid://shopify/Product/8148137148485,3 CUT 9/0 CRYSTAL LUSTER LT. AQUA LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Light Aqua Lined Preciosa Ornela Beads
gid://shopify/Product/8148139573317,3 CUT 9/0 CRYSTAL LUSTER LT. PINK LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Light Pink Lined Preciosa Ornela Beads
gid://shopify/Product/8148141375557,3 CUT 9/0 CRYSTAL LUSTER PINK LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Pink Lined Preciosa Ornela Beads
