Product,SKU,Inventory Item ID,Quantity
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (CRYSTAL)",11110-16ss-00030,gid://shopify/InventoryItem/46945711751237,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (TOPAZ)",11110-16ss-10070,gid://shopify/InventoryItem/46945711784005,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (SMOKE TOPAZ)",11110-16ss-10220,gid://shopify/InventoryItem/46945711816773,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (LIGHT AMETHYST)",11110-16ss-20020,gid://shopify/InventoryItem/46945711849541,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (AMETHYST)",11110-16ss-20050,gid://shopify/InventoryItem/46945711882309,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (JET BLACK)",11110-16ss-23980,gid://shopify/InventoryItem/46945711915077,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (LIGHT SAPPHIRE)",11110-16ss-30020,gid://shopify/InventoryItem/46945711947845,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (SAPPHIRE)",11110-16ss-30050,gid://shopify/InventoryItem/46945711980613,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (DARK SAPPHIRE)",11110-16ss-30080,gid://shopify/InventoryItem/46947990569029,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (MONTANA SAPPHIRE)",11110-16ss-30340,gid://shopify/InventoryItem/46945712013381,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (CRYSTAL)",11110-20ss-00030,gid://shopify/InventoryItem/46947554951237,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (TOPAZ)",11110-20ss-10070,gid://shopify/InventoryItem/46947554984005,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (SMOKE TOPAZ)",11110-20ss-10220,gid://shopify/InventoryItem/46947555016773,15
